fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2023-09-30,USD,169148000000,379352000000,239069000000,214137000000,114301000000,24932000000,29915000000,54847000000,3750000000,-3933000000,183000000,3933000000,383285000000,-382000000,8500000000,11519000000,113736000000,16741000000,3933000000,96995000000,96652000000,117669000000,125820000000,96995000000,AAPL
2022-09-30,USD,170782000000,391397000000,248640000000,223546000000,119437000000,25094000000,26251000000,51345000000,2825000000,-2931000000,106000000,2931000000,394328000000,-228000000,8700000000,11104000000,119103000000,19300000000,2931000000,99803000000,88531000000,122034000000,130541000000,99803000000,AAPL
2021-09-30,USD,152836000000,363172000000,234954000000,212981000000,108949000000,21973000000,21914000000,43887000000,2843000000,-2645000000,2843000000,2645000000,365817000000,60000000,9500000000,11284000000,109207000000,14527000000,2645000000,94680000000,95249000000,111852000000,120233000000,94680000000,AAPL
2020-09-30,USD,104956000000,271642000000,189475000000,169559000000,66288000000,19916000000,18752000000,38668000000,3763000000,-2873000000,3763000000,2873000000,274515000000,-87000000,9700000000,11056000000,67091000000,9680000000,2873000000,57411000000,57453000000,69964000000,77344000000,57411000000,AAPL
2019-09-30,USD,98392000000,256598000000,180027000000,161782000000,63930000000,18245000000,16217000000,34462000000,4961000000,-3576000000,4961000000,3576000000,260174000000,422000000,11300000000,12547000000,65737000000,10481000000,3576000000,55256000000,58037000000,69313000000,76477000000,55256000000,AAPL
2018-09-30,USD,101839000000,265595000000,163756000000,163756000000,70898000000,16705000000,14236000000,30941000000,5686000000,-3240000000,5686000000,3240000000,265595000000,-441000000,9300000000,10903000000,72903000000,13372000000,3240000000,59531000000,56505000000,76143000000,81801000000,59531000000,AAPL
2017-09-30,USD,88186000000,229234000000,141048000000,141048000000,61344000000,15261000000,11581000000,26842000000,5201000000,-2323000000,5201000000,2323000000,229234000000,-133000000,8200000000,1200000000,64089000000,15738000000,2323000000,48351000000,47567000000,66412000000,67612000000,48351000000,AAPL
2016-09-30,USD,84263000000,215639000000,131376000000,131376000000,60024000000,14194000000,10045000000,24239000000,3999000000,-1456000000,3999000000,1456000000,None,-1195000000,8300000000,8300000000,61372000000,15685000000,1456000000,45687000000,46666000000,62828000000,71128000000,45687000000,AAPL
2015-09-30,USD,93626000000,232982000000,163618000000,140089000000,71230000000,14329000000,8067000000,22396000000,2921000000,-733000000,None,733000000,None,-903000000,None,9200000000,72515000000,19121000000,733000000,53394000000,51967000000,73248000000,82448000000,53394000000,AAPL
2014-09-30,USD,70537000000,182411000000,131151000000,112258000000,52503000000,11993000000,6041000000,18034000000,1795000000,-384000000,None,384000000,None,-431000000,None,6900000000,53483000000,13973000000,384000000,39510000000,41063000000,53867000000,60767000000,39510000000,AAPL
